"st","naz","knaz","hcol"
107699,"GIBANJE SVOBODA","SVOBODA","005da3"
107700,"SLOVENSKA DEMOKRATSKA STRANKA - SDS","SDS","fcdc00"
107649,"VESNA - ZELENA STRANKA","VESNA","00964f"
107651,"DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE - DeSUS in DOBRA DRŽAVA","DESUS IN DD","0673ba"
107650,"SLOVENSKA LJUDSKA STRANKA - SLS","SLS","93c54b"
107648,"NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","NSi","009ac7"
107701,"LEVICA","LEVICA","fb4c48"
107652,"ZELENI SLOVENIJE","ZELENI","75a948"
107698,"SOCIALNI DEMOKRATI - SD","SD","e3000f"
107702,"DRŽAVLJANSKO GIBANJE RESNI.CA","RESNI.CA","7c5199"
107654,"NIČ OD TEGA, STRANKA PRILAGOJENA VSAKEMU, UTEMELJITELJICA NIČODTEGAIZMA, KI ZDRUŽUJE...","NOT","f963ff"
