10;06;2024;00;00
11
107699;SVOBODA;GIBANJE SVOBODA;005da3
107700;SDS;SLOVENSKA DEMOKRATSKA STRANKA - SDS;fcdc00
107649;VESNA;VESNA - ZELENA STRANKA;00964f
107651;DESUS IN DD;DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE - DeSUS in DOBRA DRŽAVA;0673ba
107650;SLS;SLOVENSKA LJUDSKA STRANKA - SLS;93c54b
107648;NSi;NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI;009ac7
107701;LEVICA;LEVICA;fb4c48
107652;ZELENI;ZELENI SLOVENIJE;75a948
107698;SD;SOCIALNI DEMOKRATI - SD;e3000f
107702;RESNI.CA;DRŽAVLJANSKO GIBANJE RESNI.CA;7c5199
107654;NOT;NIČ OD TEGA, STRANKA PRILAGOJENA VSAKEMU, UTEMELJITELJICA NIČODTEGAIZMA, KI ZDRUŽUJE...;f963ff
416065;397286;18779;95,49
107699;85938;21,63;2;0
107700;125729;31,64;4;0
107649;40762;10,26;1;0
107651;8486;2,14;0;0
107650;29719;7,48;0;0
107648;30960;7,79;1;0
107701;18030;4,54;0;0
107652;6128;1,54;0;0
107698;29733;7,48;1;0
107702;15925;4,01;0;0
107654;5981;1,51;0;0
1;VE 1000 - KRANJ;0;VE 1000 - KRANJ;68476;65167;3309;95,17
1;VE 1000 - KRANJ;1;VO 1001 - JESENICE;9095;8572;523;94,25
1;VE 1000 - KRANJ;2;VO 1002 - RADOVLJICA 1;3791;3617;174;95,41
1;VE 1000 - KRANJ;3;VO 1003 - RADOVLJICA 2;5619;5343;276;95,09
1;VE 1000 - KRANJ;4;VO 1004 - KRANJ 1;5307;5044;263;95,04
1;VE 1000 - KRANJ;5;VO 1005 - KRANJ 2;5538;5232;306;94,47
1;VE 1000 - KRANJ;6;VO 1006 - KRANJ 3;9215;8792;423;95,41
1;VE 1000 - KRANJ;7;VO 1007 - TRŽIČ;3184;2975;209;93,44
1;VE 1000 - KRANJ;8;VO 1008 - ŠKOFJA LOKA 1;8385;8042;343;95,91
1;VE 1000 - KRANJ;9;VO 1009 - ŠKOFJA LOKA 2;6854;6606;248;96,38
1;VE 1000 - KRANJ;10;VO 1010 - KAMNIK;6816;6540;276;95,95
1;VE 1000 - KRANJ;11;VO 1011 - IDRIJA;4672;4404;268;94,26
2;VE 2000 - POSTOJNA;0;VE 2000 - POSTOJNA;40148;37982;2166;94,60
2;VE 2000 - POSTOJNA;1;VO 2001 - TOLMIN;2302;2198;104;95,48
2;VE 2000 - POSTOJNA;2;VO 2002 - PIRAN;4921;4629;292;94,07
2;VE 2000 - POSTOJNA;3;VO 2003 - IZOLA;1693;1576;117;93,09
2;VE 2000 - POSTOJNA;4;VO 2004 - KOPER 1;5542;5257;285;94,86
2;VE 2000 - POSTOJNA;5;VO 2005 - KOPER 2;2842;2670;172;93,95
2;VE 2000 - POSTOJNA;6;VO 2006 - SEŽANA;1617;1530;87;94,62
2;VE 2000 - POSTOJNA;7;VO 2007 - ILIRSKA BISTRICA;4306;4038;268;93,78
2;VE 2000 - POSTOJNA;8;VO 2008 - POSTOJNA;5013;4765;248;95,05
2;VE 2000 - POSTOJNA;9;VO 2009 - NOVA GORICA 1;2496;2373;123;95,07
2;VE 2000 - POSTOJNA;10;VO 2010 - NOVA GORICA 2;4053;3855;198;95,11
2;VE 2000 - POSTOJNA;11;VO 2011 - AJDOVŠČINA;5363;5091;272;94,93
3;VE 3000 - LJUBLJANA CENTER;0;VE 3000 - LJUBLJANA CENTER;50133;48199;1934;96,14
3;VE 3000 - LJUBLJANA CENTER;1;VO 3001 - LOGATEC;8081;7774;307;96,20
3;VE 3000 - LJUBLJANA CENTER;2;VO 3002 - VRHNIKA;7041;6744;297;95,78
3;VE 3000 - LJUBLJANA CENTER;3;VO 3003 - LJUBLJANA VIČ-RUDNIK 1;3213;3079;134;95,83
3;VE 3000 - LJUBLJANA CENTER;4;VO 3004 - LJUBLJANA VIČ-RUDNIK 2;2998;2882;116;96,13
3;VE 3000 - LJUBLJANA CENTER;5;VO 3005 - LJUBLJANA VIČ-RUDNIK 3;3924;3793;131;96,66
3;VE 3000 - LJUBLJANA CENTER;6;VO 3006 - LJUBLJANA VIČ-RUDNIK 4;6405;6166;239;96,27
3;VE 3000 - LJUBLJANA CENTER;7;VO 3007 - LJUBLJANA CENTER;2491;2424;67;97,31
3;VE 3000 - LJUBLJANA CENTER;8;VO 3008 - LJUBLJANA ŠIŠKA 1;4474;4304;170;96,20
3;VE 3000 - LJUBLJANA CENTER;9;VO 3009 - LJUBLJANA ŠIŠKA 2;3655;3513;142;96,11
3;VE 3000 - LJUBLJANA CENTER;10;VO 3010 - LJUBLJANA ŠIŠKA 3;4331;4155;176;95,94
3;VE 3000 - LJUBLJANA CENTER;11;VO 3011 - LJUBLJANA ŠIŠKA 4;3520;3365;155;95,60
4;VE 4000 - LJUBLJANA BEŽIGRAD;0;VE 4000 - LJUBLJANA BEŽIGRAD;49305;47289;2016;95,91
4;VE 4000 - LJUBLJANA BEŽIGRAD;1;VO 4001 - KOČEVJE;5136;4935;201;96,09
4;VE 4000 - LJUBLJANA BEŽIGRAD;2;VO 4002 - RIBNICA-DOBREPOLJE;2962;2840;122;95,88
4;VE 4000 - LJUBLJANA BEŽIGRAD;3;VO 4003 - GROSUPLJE;3624;3504;120;96,69
4;VE 4000 - LJUBLJANA BEŽIGRAD;4;VO 4004 - IVANČNA GORICA;5061;4909;152;97,00
4;VE 4000 - LJUBLJANA BEŽIGRAD;5;VO 4005 - LJUBLJANA MOSTE-POLJE 1;3480;3333;147;95,78
4;VE 4000 - LJUBLJANA BEŽIGRAD;6;VO 4006 - LJUBLJANA MOSTE-POLJE 2;5461;5209;252;95,39
4;VE 4000 - LJUBLJANA BEŽIGRAD;7;VO 4007 - LJUBLJANA MOSTE-POLJE 3;5604;5377;227;95,95
4;VE 4000 - LJUBLJANA BEŽIGRAD;8;VO 4008 - LJUBLJANA BEŽIGRAD 1;4006;3839;167;95,83
